Branch,Installation,City/Area,State/Country,Latitude,Longitude,Combatant Command,Major Command,Primary Combat Units,Approx Personnel,Aircraft / Major Combat Systems,Notes
Army,Fort Irwin,Barstow,California,35.262500,-116.683611,NORTHCOM,FORSCOM,National Training Center; 11th Armored Cavalry Regiment (OPFOR),"~9,000",M1A2 Abrams; surrogate OPFOR vehicles,Premier heavy maneuver training rotation site.
Army,Fort Johnson (formerly Fort Polk),Leesville,Louisiana,31.047500,-93.203333,NORTHCOM,FORSCOM,"Joint Readiness Training Center; 3rd BCT, 10th Mountain Division; 1-509th Inf (OPFOR)","~11,000",Light infantry training fleet; UH-60,Light and irregular warfare rotations.
Army,Fort Wainwright,Fairbanks,Alaska,64.825278,-147.640278,INDOPACOM / NORTHCOM,USARPAC,11th Airborne Division (1-11 IBCT); Alaska Combat Aviation Brigade,"~9,000",CATV (Beowulf) / light arctic vehicles; CH-47F; UH-60M; AH-64E,Arctic warfare focused division.
Army,Schofield Barracks,Wahiawa,Hawaii,21.492500,-158.064167,INDOPACOM,USARPAC,25th Infantry Division; 25th Combat Aviation Brigade,"~17,000",M119A3; UH-60M; CH-47F; AH-64E,Pacific light infantry division.
Army,Fort Shafter,Honolulu,Hawaii,21.346944,-157.886389,INDOPACOM,USARPAC,US Army Pacific HQ,"~4,000",Command element,Army component command for INDOPACOM.
Army,Fort Knox,Radcliff,Kentucky,37.904444,-85.956667,NORTHCOM,FORSCOM,1st Theater Sustainment Command; V Corps (Main),"~12,000",Sustainment and training fleet,V Corps headquarters (forward element in Poland).
Army,Fort Eisenhower (formerly Fort Gordon),Augusta,Georgia,33.419444,-82.160556,CYBERCOM,ARCYBER,US Army Cyber Command; NSA Georgia,"~19,000",Cyber and signals intelligence,Army cyber operations hub.
Army,Fort Huachuca,Sierra Vista,Arizona,31.554444,-110.349722,NORTHCOM,INSCOM,US Army Intelligence Center; Network Enterprise Technology Command,"~11,000",MQ-1C Gray Eagle (training); ISR systems,Military intelligence training center.
Army,Fort Belvoir,Fort Belvoir,Virginia,38.718889,-77.154167,NORTHCOM,IMCOM / INSCOM,INSCOM HQ; Defense Intelligence Agency elements,"~40,000 (incl. civilians)",Intelligence and command support,Major national intelligence concentration.
Army,Fort Novosel (formerly Fort Rucker),Enterprise,Alabama,31.344444,-85.713056,NORTHCOM,TRADOC,US Army Aviation Center of Excellence,"~14,000",UH-60; AH-64E; CH-47F; UH-72 Lakota; TH-67,All Army aviator training.
Army,Fort Bliss / Biggs AAF,El Paso,Texas,31.849722,-106.379722,NORTHCOM,FORSCOM,"Combat Aviation Brigade, 1st Armored Division",see Fort Bliss,AH-64E; UH-60M; CH-47F,Aviation component of Fort Bliss.
Army,Fort Leonard Wood,Waynesville,Missouri,37.741667,-92.116667,NORTHCOM,TRADOC,Maneuver Support Center of Excellence,"~14,000","Engineer, CBRN, and MP training",Combat support branch training.
Army,Fort Cavazos (West Fort Cavazos airfield/UAS complex),Killeen,Texas,31.148889,-97.830278,NORTHCOM,FORSCOM,Aviation and UAS units,see Fort Cavazos,MQ-1C Gray Eagle; AH-64E,Unmanned aircraft and aviation operations.
Army,Fort Greely,Delta Junction,Alaska,63.971667,-145.727500,NORTHCOM,MDA / SMDC,49th Missile Defense Battalion,~600,Ground-Based Interceptors (GMD),Primary homeland ballistic missile defense interceptor field.
Army,White Sands Missile Range,Las Cruces,New Mexico,32.383333,-106.478611,NORTHCOM,ATEC,Army Test and Evaluation Command,"~9,000",Missile and munitions test ranges,Largest overland test range in the US.
Army,Redstone Arsenal,Huntsville,Alabama,34.683333,-86.650000,NORTHCOM / SPACECOM,AMC / SMDC,Army Materiel Command; Space and Missile Defense Command; MDA,"~40,000 (incl. civilians)",Missile development and program management,Army missile and space enterprise hub.
Army,Fort Buchanan,Guaynabo,Puerto Rico,18.397222,-66.126389,SOUTHCOM,USARSO,Army Reserve and support units,"~1,500",Support units,Caribbean Army presence.
Army,Camp Humphreys,Pyeongtaek,South Korea,36.963889,127.031389,INDOPACOM,USFK / Eighth Army,Eighth Army HQ; 2nd Infantry Division / ROK-US Combined Division; 2nd CAB,"~28,000+",AH-64E Apache; UH-60M; CH-47F; M1A2 Abrams; M109A7; MLRS,Largest US overseas installation.
Army,Camp Casey / Camp Hovey,Dongducheon,South Korea,37.925556,127.072222,INDOPACOM,Eighth Army,Rotational Armored Brigade Combat Team,"~6,000",M1A2 Abrams; M2 Bradley; M109A7,Northernmost major US ground presence in Korea.
Army,Camp Carroll / Camp Walker,Daegu,South Korea,35.845833,128.591667,INDOPACOM,Eighth Army,19th Expeditionary Sustainment Command,"~5,000",Sustainment and prepositioned stocks,Southern Korea logistics hub.
Army,Osan / Suwon (Patriot sites),Gyeonggi,South Korea,37.090556,127.030556,INDOPACOM,Eighth Army,35th Air Defense Artillery Brigade,"~1,500",Patriot PAC-3,Air and missile defense of the peninsula.
Army,Camp Zama,Zama,Japan,35.500278,139.395833,INDOPACOM,USARPAC,US Army Japan HQ; I Corps (Forward),"~2,500",Command element,Army component headquarters in Japan.
Army,Torii Station,Yomitan,Japan (Okinawa),26.372222,127.738889,INDOPACOM / SOCOM,USASOC,1st Special Forces Group (1st Battalion); 10th Support Group,"~2,000",Special operations,Only forward-based Green Beret battalion in the Pacific.
Army,Sagami General Depot / Yokohama North Dock,Kanagawa,Japan,35.580278,139.380278,INDOPACOM,USARPAC,Logistics support; watercraft units,"~1,000",Army watercraft; prepositioned stocks,Theater sustainment in Japan.
Army,Grafenwoehr Training Area,Grafenwoehr,Germany,49.716667,11.900000,EUCOM,USAREUR-AF,7th Army Training Command; rotational ABCT,"~8,000",M1A2 Abrams; M2 Bradley; M109A7 (rotational and APS-2),Largest US training area in Europe.
Army,Rose Barracks Vilseck,Vilseck,Germany,49.630000,11.800000,EUCOM,USAREUR-AF,2nd Cavalry Regiment,"~5,000",Stryker ICV; M777,Only permanently forward-stationed US brigade-size maneuver unit in Europe.
Army,Clay Kaserne Wiesbaden,Wiesbaden,Germany,50.049722,8.325278,EUCOM,USAREUR-AF,US Army Europe and Africa HQ; 5th Signal Command; Security Assistance Group-Ukraine,"~5,000",Command and control,Army component headquarters for Europe and Africa.
Army,Baumholder,Baumholder,Germany,49.616667,7.300000,EUCOM,USAREUR-AF,16th Sustainment Brigade; 41st Field Artillery Brigade elements,"~4,000",M270 MLRS; sustainment units,Long-range fires and sustainment.
Army,Katterbach / Illesheim (Ansbach),Ansbach,Germany,49.310556,10.638056,EUCOM,USAREUR-AF,12th Combat Aviation Brigade,"~5,000",AH-64E Apache; UH-60M; CH-47F,Only permanent Army aviation brigade in Europe.
Army,Hohenfels Training Area,Hohenfels,Germany,49.200000,11.850000,EUCOM,USAREUR-AF,Joint Multinational Readiness Center,"~3,000",Maneuver training fleet,NATO combined arms rotations.
Army,Caserma Ederle / Del Din,Vicenza,Italy,45.541111,11.570556,EUCOM / AFRICOM,USAREUR-AF,173rd Airborne Brigade; US Army Africa (SETAF-AF),"~5,000",M119A3; airborne infantry,Only forward-stationed US airborne brigade.
Army,Camp Darby,Livorno,Italy,43.642778,10.344444,EUCOM,USAREUR-AF,Army Prepositioned Stocks-2,"~1,000",Prepositioned equipment,Mediterranean equipment set.
Army,Camp Kosciuszko,Poznan,Poland,52.427778,16.897222,EUCOM,USAREUR-AF,V Corps Forward Command Post,"~1,000",Command element,First permanent US garrison in Poland.
Army,Powidz / Camp Kosciuszko complex,Powidz,Poland,52.379444,17.852500,EUCOM,USAREUR-AF,Army Prepositioned Stocks-2 site; rotational aviation,"~1,500",AH-64E; UH-60M; prepositioned armor,Eastern flank equipment and aviation hub.
Army,Mihail Kogalniceanu Air Base,Constanta,Romania,44.362222,28.488333,EUCOM,USAREUR-AF,Rotational battalion task forces; aviation,"~3,000",AH-64E; rotational armor; MQ-9A,Black Sea flank hub; expanding significantly.
Army,Camp Bondsteel,Ferizaj,Kosovo,42.366667,21.250000,EUCOM,USAREUR-AF,KFOR Regional Command East,~600,Light infantry,NATO peacekeeping mission.
Army,Camp Arifjan,Kuwait City,Kuwait,28.875000,48.163889,CENTCOM,ARCENT,US Army Central forward HQ; 1st TSC (Forward),"~9,000",Army Prepositioned Stocks-5; Patriot; sustainment,Main CENTCOM Army logistics hub.
Army,Camp Buehring,Udairi,Kuwait,29.695833,47.426389,CENTCOM,ARCENT,Rotational armored brigade elements,"~5,000",M1A2 Abrams; M2 Bradley; M109A7,Forward training and staging base.
Army,Camp As Sayliyah,Doha,Qatar,25.263889,51.419444,CENTCOM,ARCENT,Army Prepositioned Stocks-5 site,"~1,000",Prepositioned armor and equipment,Regional equipment set.
Army,Al Asad Air Base,Al Anbar,Iraq,33.785556,42.441111,CENTCOM,CJTF-OIR,Advise and assist elements,"~1,000 (drawing down)",Patriot/C-RAM; rotary wing,Presence being reduced under 2024 US-Iraq agreement.
Army,Erbil Air Base,Erbil,Iraq,36.237222,43.998333,CENTCOM,CJTF-OIR,Advise and assist elements,"~500-1,000",C-RAM; rotary wing; ISR,Kurdistan Region coalition hub.
Army,Al Tanf Garrison,Homs Governorate,Syria,33.483333,38.683333,CENTCOM,CJTF-OIR,Special operations task force,~200,HIMARS; light vehicles,Controls key border crossing.
Army,Mission Support Site Euphrates / Green Village,Deir ez-Zor,Syria,35.083333,40.500000,CENTCOM,CJTF-OIR,Counter-ISIS task force,~500 total in Syria,Light infantry; ISR,US presence in Syria significantly reduced since 2025.
Army,Patch Barracks (USAG Stuttgart),Stuttgart,Germany,48.714444,9.078611,EUCOM,USAREUR-AF / IMCOM,USEUCOM HQ; Special Operations Command Europe (SOCEUR),"~4,000",Joint Theater Command and Control Systems,Headquarters of United States European Command (USEUCOM).
Army,Kelley Barracks (USAG Stuttgart),Stuttgart,Germany,48.724722,9.183889,AFRICOM,USAREUR-AF / IMCOM,USAFRICOM HQ; Special Operations Command Africa (SOCAFRICA),"~3,000",Joint Theater Command and Control Systems,Headquarters of United States Africa Command (USAFRICOM).
Army,USAG Miami (SOUTHCOM HQ),Doral,Florida,25.808056,-80.347500,SOUTHCOM,USARSO / IMCOM,USSOUTHCOM HQ; Special Operations Command South (SOCSOUTH),"~1,800",Joint Theater Command and Control Systems,Headquarters of United States Southern Command (USSOUTHCOM).
Army,Fort George G. Meade,Fort Meade,Maryland,39.108611,-76.741667,CYBERCOM / NORTHCOM,ARCYBER / IMCOM,US Cyber Command HQ; NSA/CSS; DISA; Defense Courier Service; 70th ISR Wing,"~60,000 (incl. civilians)",National Cyber and Cryptologic Operations Infrastructure,Nation's premier cryptologic and cyber operations hub; largest DoD workforce in Maryland.
Army,Joint Base San Antonio - Fort Sam Houston,San Antonio,Texas,29.458333,-98.441667,NORTHCOM / SOUTHCOM,ARNORTH / ARSOUTH / MEDCOM,US Army North (Fifth Army); US Army South (Sixth Army); Medical Center of Excellence; BAMC,"~36,000",Brooke Army Medical Center; theater defense C2,Army lead component of JBSA; DoD's premier military medical training and trauma center.
Army,Joint Base Langley-Eustis (Fort Eustis),Newport News,Virginia,37.155556,-76.577778,NORTHCOM,TRADOC / FORSCOM,US Army Training and Doctrine Command (TRADOC) HQ; 7th Transportation Brigade (Expeditionary),"~18,000","Army watercraft fleet (LSVs, LCUs); helicopter maintenance training","Army component of JBLE; doctrine development, logistics, and army maritime operations."
Army,Fort Leavenworth,Leavenworth,Kansas,39.355556,-94.922222,NORTHCOM,TRADOC,Combined Arms Center; Command and General Staff College; Mission Command CoE; US Disciplinary Barracks,"~10,000",Leader education and doctrine development facilities,The intellectual center of the US Army; educates mid-grade officers across all services.
Army,Fort Jackson,Columbia,South Carolina,34.043889,-80.938889,NORTHCOM,TRADOC,US Army Training Center; Soldier Support Institute; US Army Chaplain Center and School,"~20,000",Initial Entry Training (IET) infrastructure,"Largest Basic Combat Training installation in the US Army, training ~50% of entering soldiers."
Army,Fort Gregg-Adams,Prince George County,Virginia,37.240556,-77.340278,NORTHCOM,TRADOC / AMC,Combined Arms Support Command (CASCOM); Army Logistics University; DeCA HQ,"~30,000",Sustainment and logistics training systems,"Formerly Fort Lee (renamed April 2023); center of excellence for Quartermaster, Ordnance, and Transportation branches."
Army,Fort Walker,Bowling Green,Virginia,38.166667,-77.333333,NORTHCOM,IMCOM,Regional Collective Training Center; Northern Virginia training range complex,"~1,000",Live-fire maneuver ranges; explosive ordnance and asymmetric warfare ranges,Formerly Fort A.P. Hill (renamed August 2023); premier regional maneuver and weapons training center.
Army,Fort Barfoot,Blackstone,Virginia,37.098889,-77.962222,NORTHCOM,ARNG,Army National Guard Maneuver Training Center; Foreign Affairs Security Training Center (FASTC),"~1,200",Multi-purpose range complexes; live-fire shoot houses; mock airfields,Formerly Fort Pickett (renamed March 2023); premier National Guard maneuver training center.
Army,Aberdeen Proving Ground,Aberdeen,Maryland,39.466667,-76.133333,NORTHCOM,AFC / AMC,Communications-Electronics Command (CECOM); DEVCOM; Army Test and Evaluation Command (ATEC),"~21,000",Ordnance and electronics test ranges; chemical biological defense laboratories,"Oldest active Army proving ground; primary research, development, and test center for tactical gear."
Army,Carlisle Barracks,Carlisle,Pennsylvania,40.211111,-77.177778,NORTHCOM,TRADOC,US Army War College; Peacekeeping and Stability Operations Institute; Strategic Studies Institute,"~2,000",Senior leader strategic wargaming and education facilities,Premier senior military educational institution for theater-level strategy and national security.
Army,West Point (US Military Academy),West Point,New York,41.391667,-73.958333,NORTHCOM,HQDA,United States Military Academy; USMA Brigade of Cadets,"~7,500","Cadet academic, tactical, and live-fire training infrastructure",Oldest continuously occupied US military post (est. 1778); cradle of the Army officer corps.
Army,Fort Detrick,Frederick,Maryland,39.435278,-77.428611,NORTHCOM,USAMRDC / IMCOM,US Army Medical Research and Development Command; USAMRIID; National Interagency Biodefense Campus,"~10,000",BSL-4 biocontainment laboratories; medical countermeasures development,Nation's premier biodefense and medical countermeasure research installation.
Air Force,Joint Base Langley-Eustis,Hampton,Virginia,37.082778,-76.360556,NORTHCOM,ACC,1st Fighter Wing; 192nd Wing (ANG assoc.),"~14,000",F-22A Raptor,ACC headquarters is here.
Air Force,Seymour Johnson AFB,Goldsboro,North Carolina,35.339444,-77.960556,NORTHCOM,ACC,4th Fighter Wing; 916th ARW (AFRC),"~5,600",F-15E Strike Eagle; KC-46A,"Lead East Coast operational F-15E strike wing and formal training unit (333rd/334th FS); Mountain Home AFB, ID is the other stateside operational F-15E wing."
Air Force,Shaw AFB,Sumter,South Carolina,33.974722,-80.470556,NORTHCOM / CENTCOM,ACC,20th Fighter Wing; USARCENT HQ,"~5,400",F-16CM Fighting Falcon,"Hosts 3rd Army/ARCENT, CENTCOM's Army component."
Air Force,Moody AFB,Valdosta,Georgia,30.968611,-83.193056,NORTHCOM,ACC,23rd Wing; 347th Rescue Group,"~5,500",A-10C Thunderbolt II; HH-60W Jolly Green II; HC-130J,Primary CSAR hub.
Air Force,Nellis AFB,Las Vegas,Nevada,36.236111,-115.034167,NORTHCOM,ACC,57th Wing; USAF Warfare Center; 53rd Wing det.,"~9,500",F-15E; F-16C; F-22A; F-35A; A-10C; adversary F-16,Red Flag and USAF Weapons School.
Air Force,Luke AFB,Glendale,Arizona,33.535000,-112.383056,NORTHCOM,AETC,56th Fighter Wing,"~7,000",F-35A Lightning II; F-16C (partner nations),Largest F-35A training base.
Air Force,Davis-Monthan AFB,Tucson,Arizona,32.166944,-110.883056,NORTHCOM,ACC,355th Wing; 924th Fighter Group (AFRC),"~7,500",A-10C; HH-60G/W; EC-130H (divesting),A-10 fleet drawing down; AMARG boneyard co-located.
Air Force,Hill AFB,Ogden,Utah,41.123889,-111.973056,NORTHCOM,AFMC / ACC,388th Fighter Wing; 419th Fighter Wing (AFRC),"~5,600 mil",F-35A Lightning II,First operational F-35A wing.
Air Force,Eielson AFB,Fairbanks,Alaska,64.665556,-147.101389,INDOPACOM,PACAF,354th Fighter Wing; 168th Wing (ANG),"~3,000",F-35A; KC-135R; adversary F-16,Two F-35A squadrons oriented on the Pacific/Arctic.
Air Force,Joint Base Elmendorf-Richardson,Anchorage,Alaska,61.250833,-149.806944,INDOPACOM / NORTHCOM,PACAF / USARPAC,3rd Wing; 176th Wing (ANG); 11th Airborne Division (2-11 IBCT-A),"~12,000 mil",F-22A; C-17A; E-3G; HH-60G; HC-130J,Alaskan Command and 11th AF headquarters.
Air Force,Mountain Home AFB,Mountain Home,Idaho,43.048333,-115.872222,NORTHCOM,ACC,366th Fighter Wing,"~4,000",F-15E Strike Eagle,Gunfighter range complex.
Air Force,Holloman AFB,Alamogordo,New Mexico,32.852222,-106.106389,NORTHCOM,AETC / ACC,49th Wing,"~4,500",F-16C (training); MQ-9A Reaper,Primary MQ-9 formal training unit.
Air Force,Eglin AFB,Valparaiso,Florida,30.483333,-86.525556,NORTHCOM,AFMC / AETC,96th Test Wing; 33rd Fighter Wing; 7th Special Forces Group (Army),"~13,000",F-35A/B/C; F-15; F-22; weapons test fleet,Largest USAF installation by land area.
Air Force,Tyndall AFB,Panama City,Florida,30.070000,-85.575000,NORTHCOM,ACC,325th Fighter Wing,"~3,500",F-35A (bedding down),Rebuilt after Hurricane Michael; F-35A wing standing up.
Air Force,Kunsan Air Base,Gunsan,South Korea,35.926111,126.615833,INDOPACOM,PACAF,8th Fighter Wing,"~2,800",F-16C/CM Block 40,Wolf Pack; no accompanied tours.
Air Force,Osan Air Base,Pyeongtaek,South Korea,37.090556,127.030556,INDOPACOM,PACAF,51st Fighter Wing; 7th Air Force HQ,"~7,500",F-16C/CM; A-10C (divesting),Closest US fighter base to the DMZ.
Air Force,Kadena Air Base,Okinawa,Japan,26.355556,127.767500,INDOPACOM,PACAF,18th Wing,"~7,000 mil",Rotational F-15EX/F-22A/F-35A; KC-135R; E-3G; HH-60W,Largest US combat air base in the Pacific; F-15C/D retired.
Air Force,Misawa Air Base,Misawa,Japan,40.703333,141.368333,INDOPACOM,PACAF,35th Fighter Wing,"~4,500",F-16CM (SEAD/Wild Weasel),Only forward-based SEAD F-16 wing.
Air Force,RAF Lakenheath,Suffolk,United Kingdom,52.409444,0.560833,EUCOM,USAFE-AFAFRICA,48th Fighter Wing,"~5,000",F-15E Strike Eagle; F-35A Lightning II,Only USAF fighter wing in the UK.
Air Force,Spangdahlem Air Base,Spangdahlem,Germany,49.975000,6.691944,EUCOM,USAFE-AFAFRICA,52nd Fighter Wing,"~4,500",F-16CM (SEAD),Supports NATO air policing.
Air Force,Aviano Air Base,Aviano,Italy,46.031944,12.596389,EUCOM,USAFE-AFAFRICA,31st Fighter Wing,"~4,000",F-16CM Fighting Falcon,Only US fighter wing in southern Europe.
Air Force,Whiteman AFB,Knob Noster,Missouri,38.730278,-93.547778,NORTHCOM / STRATCOM,AFGSC,509th Bomb Wing; 131st BW (ANG); 442nd Fighter Wing (AFRC),"~4,000",B-2A Spirit; A-10C,Only operational B-2 base.
Air Force,Minot AFB,Minot,North Dakota,48.415556,-101.358056,STRATCOM,AFGSC,5th Bomb Wing; 91st Missile Wing,"~5,500",B-52H Stratofortress; LGM-30G Minuteman III (150 silos); UH-1N,Only base with two legs of the nuclear triad.
Air Force,Barksdale AFB,Bossier City,Louisiana,32.501944,-93.662778,STRATCOM,AFGSC,2nd Bomb Wing; 307th BW (AFRC); Eighth Air Force,"~8,000",B-52H Stratofortress,Air Force Global Strike Command headquarters.
Air Force,Dyess AFB,Abilene,Texas,32.420833,-99.849722,STRATCOM / TRANSCOM,AFGSC / AMC,7th Bomb Wing; 317th Airlift Wing,"~5,000",B-1B Lancer; C-130J Super Hercules,B-21 Raider planned follow-on base.
Air Force,Ellsworth AFB,Rapid City,South Dakota,44.145000,-103.103611,STRATCOM,AFGSC,28th Bomb Wing,"~3,700",B-1B Lancer,Designated first B-21 Raider main operating base.
Air Force,F.E. Warren AFB,Cheyenne,Wyoming,41.145556,-104.866944,STRATCOM,AFGSC,90th Missile Wing,"~3,600",LGM-30G Minuteman III (150 silos); UH-1N / MH-139A,Twentieth Air Force headquarters.
Air Force,Malmstrom AFB,Great Falls,Montana,47.505556,-111.183056,STRATCOM,AFGSC,341st Missile Wing,"~3,400",LGM-30G Minuteman III (150 silos); UH-1N / MH-139A,Largest missile complex by area.
Air Force,Kirtland AFB,Albuquerque,New Mexico,35.040278,-106.609167,NORTHCOM,AFGSC / AFMC,377th Air Base Wing; 58th Special Operations Wing,"~23,000",HH-60G/W; CV-22B; HC-130J (training),Nuclear weapons storage and sustainment center.
Air Force,Hurlburt Field,Mary Esther,Florida,30.428611,-86.689444,SOCOM,AFSOC,1st Special Operations Wing; AFSOC HQ,"~8,000",AC-130J Ghostrider; MC-130J; U-28A; MQ-9A,Air Force Special Operations Command headquarters.
Air Force,Cannon AFB,Clovis,New Mexico,34.382778,-103.322222,SOCOM,AFSOC,27th Special Operations Wing,"~5,000",AC-130J; MC-130J; CV-22B Osprey; U-28A; MQ-9A,Second AFSOC power-projection wing.
Air Force,RAF Mildenhall,Suffolk,United Kingdom,52.361944,0.486389,EUCOM / SOCOM,USAFE / AFSOC,100th Air Refueling Wing; 352nd Special Operations Wing,"~4,000",KC-135R; CV-22B; MC-130J,Only permanent USAF tanker wing in Europe.
Air Force,Offutt AFB,Bellevue,Nebraska,41.117778,-95.912778,STRATCOM,ACC,55th Wing; USSTRATCOM HQ,"~10,000",RC-135V/W Rivet Joint; RC-135S Cobra Ball; RC-135U; E-4B NAOC; TC-135,Nation's strategic ISR and nuclear C2 hub.
Air Force,Beale AFB,Marysville,California,39.136111,-121.436667,NORTHCOM,ACC,9th Reconnaissance Wing; 940th ARW (AFRC),"~4,000",U-2S Dragon Lady; T-38A; KC-135R; RQ-4 (divesting),High-altitude ISR center.
Air Force,Creech AFB,Indian Springs,Nevada,36.583889,-115.672500,NORTHCOM,ACC,432nd Wing / 432nd Air Expeditionary Wing,"~4,000",MQ-9A Reaper,Global remotely piloted aircraft operations hub.
Air Force,Tinker AFB,Oklahoma City,Oklahoma,35.414722,-97.386389,NORTHCOM / STRATCOM,ACC / AFMC / Navy,552nd Air Control Wing; Strategic Communications Wing One (Navy),"~26,000",E-3G Sentry AWACS; E-6B Mercury; E-7A (planned),Airborne early warning and nuclear TACAMO command post fleet.
Air Force,Robins AFB,Warner Robins,Georgia,32.613056,-83.591944,NORTHCOM,AFMC / ACC,461st Air Control Wing; 116th ACW (ANG),"~21,000",E-11A BACN; JSTARS divested 2023,Battlefield airborne communications node mission.
Air Force,Grand Forks AFB,Grand Forks,North Dakota,47.961111,-97.401111,NORTHCOM,ACC,319th Reconnaissance Wing,"~2,000",RQ-4 Global Hawk (divesting); MQ-4C support,Transitioning toward ISR enterprise support.
Air Force,Travis AFB,Fairfield,California,38.262778,-121.927222,TRANSCOM,AMC,60th Air Mobility Wing; 349th AMW (AFRC),"~14,000",C-5M Super Galaxy; C-17A; KC-46A Pegasus,Largest airlift/tanker hub on the West Coast.
Air Force,Dover AFB,Dover,Delaware,39.129444,-75.466111,TRANSCOM,AMC,436th Airlift Wing; 512th AW (AFRC),"~7,000",C-5M Super Galaxy; C-17A Globemaster III,Primary strategic airlift port on the East Coast.
Air Force,Joint Base Charleston,Charleston,South Carolina,32.898611,-80.040556,TRANSCOM,AMC,437th Airlift Wing; 315th AW (AFRC),"~22,000",C-17A Globemaster III,Major C-17 power-projection base.
Air Force,Joint Base Lewis-McChord (McChord Field),Tacoma,Washington,47.137778,-122.476389,TRANSCOM / INDOPACOM,AMC,62nd Airlift Wing; 446th AW (AFRC),"~40,000 (joint base)",C-17A Globemaster III,Co-located with I Corps and 7th Infantry Division.
Air Force,McConnell AFB,Wichita,Kansas,37.625833,-97.269444,TRANSCOM,AMC,22nd Air Refueling Wing; 931st ARW (AFRC),"~5,000",KC-46A Pegasus; KC-135R,Lead KC-46A operating base.
Air Force,Fairchild AFB,Spokane,Washington,47.615000,-117.655833,TRANSCOM,AMC,92nd Air Refueling Wing; 141st ARW (ANG),"~5,000",KC-135R Stratotanker,Largest KC-135 base; SERE school.
Air Force,MacDill AFB,Tampa,Florida,27.849444,-82.521111,CENTCOM / SOCOM,AMC,6th Air Refueling Wing; USCENTCOM HQ; USSOCOM HQ,"~15,000",KC-135R Stratotanker,Two combatant command headquarters.
Air Force,Scott AFB,Belleville,Illinois,38.545278,-89.835278,TRANSCOM,AMC,375th Air Mobility Wing; USTRANSCOM HQ; AMC HQ,"~13,000",C-40C; KC-135R (ANG assoc.),Global mobility command and control.
